,bacterial1.fasta,bacterial2.fasta,bacterial3.fasta,bacterial4.fasta,mamalian1.fasta,mamalian2.fasta,mamalian3.fasta,mamalian4.fasta
CE,0.0005249343832020997,0.0008468424872973627,0.0005145356315924878,0.0,0.0007231703789412786,0.000902346099859635,0.0009152480322167307,0.0009871668311944718
CF,0.0005249343832020997,0.0008468424872973627,0.0012863390789812194,0.0009950248756218905,0.0021695111368238355,0.00120312813314618,0.0009152480322167307,0.0008461429981666902
CG,0.0005249343832020997,0.0006048874909266877,0.0007718034473887317,0.0005970149253731343,0.0014463407578825572,0.0020052135552436332,0.001098297638660077,0.0021153574954167254
CH,0.00017497812773403323,0.0004839099927413501,0.0007718034473887317,0.0,0.0008678044547295343,0.0010026067776218166,0.0005491488193300384,0.0014102383302778169
CI,0.0006999125109361329,0.0013307524800387127,0.0012863390789812194,0.0011940298507462687,0.0013017066820943013,0.0010026067776218166,0.0032948929159802307,0.001833309829361162
CK,0.0012248468941382328,0.0009678199854827002,0.0006431695394906097,0.0009950248756218905,0.0011570726063060456,0.0008020854220974534,0.0020135456708768075,0.0012692144972500353
CL,0.0006999125109361329,0.0024195499637067507,0.0012863390789812194,0.0007960199004975124,0.003181949667341626,0.003108081010627632,0.0023796448837635,0.0022563813284445073
CM,0.00017497812773403323,0.00024195499637067505,0.0,0.0,0.0005785363031530228,0.000902346099859635,0.0005491488193300384,0.0008461429981666902
CN,0.0008748906386701663,0.0008468424872973627,0.00038590172369436584,0.0003980099502487562,0.001590974833670813,0.0014036494886705434,0.002196595277320154,0.0008461429981666902
CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP,0.00034995625546806647,0.0010887974836680378,0.0010290712631849757,0.0001990049751243781,0.0007231703789412786,0.001503910166432725,0.0007321984257733846,0.0019743336623889436
CQ,0.00034995625546806647,0.0008468424872973627,0.00012863390789812196,0.0007960199004975124,0.0013017066820943013,0.00060156406657309,0.0009152480322167307,0.0005640953321111268
CR,0.0005249343832020997,0.0010887974836680378,0.0005145356315924878,0.0003980099502487562,0.0008678044547295343,0.0014036494886705434,0.001281347245103423,0.0045127626568890146
CS,0.0008748906386701663,0.0015727074764093879,0.0016722408026755853,0.0013930348258706469,0.0026034133641886026,0.0019049528774814518,0.0018304960644334614,0.0026794528275278524
CT,0.00034995625546806647,0.0012097749818533753,0.00038590172369436584,0.0003980099502487562,0.0014463407578825572,0.0013033888109083617,0.0018304960644334614,0.0022563813284445073
CU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CV,0.0008748906386701663,0.0018146624727800628,0.0006431695394906097,0.0005970149253731343,0.0026034133641886026,0.0011028674553839983,0.0027457440966501922,0.001833309829361162
CW,0.0,0.0007258649891120251,0.00012863390789812196,0.0003980099502487562,0.00101243853051779,0.0007018247443352717,0.0005491488193300384,0.0005640953321111268
CY,0.0008748906386701663,0.00036293249455601257,0.0005145356315924878,0.0009950248756218905,0.00202487706103558,0.0011028674553839983,0.0016474464579901153,0.0009871668311944718
C*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DA,0.0010498687664041995,0.0032663924510041133,0.0036017494211474143,0.004776119402985075,0.00303731559155337,0.0020052135552436332,0.002196595277320154,0.0035255958256945425
DC,0.0008748906386701663,0.0006048874909266877,0.0006431695394906097,0.0003980099502487562,0.00101243853051779,0.0013033888109083617,0.0014643968515467693,0.0005640953321111268
DD,0.0024496937882764656,0.0021775949673360755,0.00398765114484178,0.005572139303482587,0.0018802429852473243,0.0017044315219570884,0.006223686619073769,0.0021153574954167254
DE,0.0033245844269466315,0.0025405274618920883,0.004373552868536146,0.0027860696517412937,0.0018802429852473243,0.0016041708441949067,0.0027457440966501922,0.0029615004935834156
DF,0.0026246719160104987,0.002056617469150738,0.002315410342166195,0.003781094527363184,0.0028926815157651145,0.0017044315219570884,0.0027457440966501922,0.0004230714990833451
DG,0.0017497812773403325,0.0026615049600774254,0.00398765114484178,0.003383084577114428,0.00303731559155337,0.0029075596551032686,0.0020135456708768075,0.003807643491750106
DH,0.00017497812773403323,0.0007258649891120251,0.0006431695394906097,0.0011940298507462687,0.0005785363031530228,0.000902346099859635,0.001098297638660077,0.0009871668311944718
DI,0.003674540682414698,0.0031454149528187757,0.002701312065860561,0.003383084577114428,0.002458779288400347,0.0023059955885301785,0.007871133077063884,0.0014102383302778169
DK,0.005249343832020997,0.0018146624727800628,0.0033444816053511705,0.004975124378109453,0.0028926815157651145,0.0010026067776218166,0.002196595277320154,0.0009871668311944718
DL,0.0059492563429571306,0.004113234938301476,0.005145356315924878,0.005771144278606965,0.0034712178189181373,0.004110687788249448,0.004759289767527,0.0022563813284445073
DM,0.0006999125109361329,0.0013307524800387127,0.0007718034473887317,0.0003980099502487562,0.0008678044547295343,0.000902346099859635,0.0016474464579901153,0.0005640953321111268
DN,0.003499562554680665,0.0015727074764093879,0.002572678157962439,0.003582089552238806,0.0013017066820943013,0.0017044315219570884,0.003844041735310269,0.0015512621633055987
DO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,0.0013998250218722659,0.0024195499637067507,0.0005145356315924878,0.001791044776119403,0.0011570726063060456,0.0035091237216763587,0.0014643968515467693,0.0023974051614722887
