,bacterial1.fasta,bacterial2.fasta,bacterial3.fasta,bacterial4.fasta,mamalian1.fasta,mamalian2.fasta,mamalian3.fasta,mamalian4.fasta
EA,0.002916452221650369,0.002720927481367562,0.0022701475595913734,0.003339226085248478,0.002567027952082145,0.0036428079157231467,0.0012547051442910915,0.0020729684908789387
EC,0.00034311202607651396,0.0003549035845262037,0.0,0.0003928501276762915,0.0017113519680547634,0.0010829969479176922,0.0005377307761247536,0.000552791597567717
ED,0.003088008234688626,0.0031941322607358332,0.0020179089418589985,0.0037320762129247694,0.0015687393040501997,0.0027567195037904893,0.0023301666965405985,0.002211166390270868
EE,0.004288900325956425,0.003785638234946173,0.0029007441039223107,0.003142801021410332,0.0029948659440958356,0.004824259131633356,0.0021509231044990144,0.005113322277501382
EF,0.002230228169497341,0.002366023896841358,0.002396266868457561,0.002357100766057749,0.0017113519680547634,0.0011814512159102097,0.0021509231044990144,0.0006909894969596462
EG,0.001029336078229542,0.0031941322607358332,0.001513431706394249,0.0029463759575721863,0.0022818026240730175,0.002658265235797972,0.001792435920415845,0.0019347705914870095
EH,0.0008577800651912849,0.0010647107535786111,0.0008828351620633119,0.00019642506383814575,0.0012835139760410724,0.0010829969479176922,0.0010754615522495072,0.0012437810945273632
EI,0.00394578829987991,0.0031941322607358332,0.004035817883717997,0.005499901787468081,0.002567027952082145,0.0014768140198877621,0.003226384656748521,0.0013819789939192924
EK,0.004632012352032939,0.002366023896841358,0.0037835792659856224,0.005107051659791789,0.0024244152880775814,0.002461356699812937,0.00197167951245743,0.0009673852957435047
EL,0.00857780065191285,0.003903939429788241,0.004918653045781309,0.004321351404439206,0.004278379920136908,0.0036428079157231467,0.0034056282487901057,0.0030403537866224434
EM,0.002058672156459084,0.001183011948420679,0.0010089544709294992,0.001571400510705166,0.0008556759840273817,0.0006891798759476223,0.0016131923283742606,0.0009673852957435047
EN,0.0034311202607651397,0.0014196143381048148,0.003026863412788498,0.0041249263406010605,0.0019965772960638907,0.0017721768238653146,0.0021509231044990144,0.002211166390270868
EO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
